facility n.设备；容易；便利# 
friendly a.友好的，友谊的# 
friendship n.友谊，友好# 
frighten vt.使惊恐，吓唬# 
frog n.蛙# 
from prep.从…来；离开# 
front a.前面的n.前部# 
frontier n.边境；边疆；新领域# 
frost n.冰冻，严寒；霜# 
frown vi.皱眉，蹙额# 
fruit n.水果；果实；成果# 
fruitful a.多产的；肥沃的# 
fry vt.油煎，油炸，油炒# 
fuel n.燃料vt.给…加燃料# 
fulfil vt.履行；满足；完成# 
full a.满的；完全的# 
fun n.乐趣，娱乐；玩笑# 
function n.功能；职务；函数# 
fund n.资金；基金；存款# 
fundamental a.基础的，基本的# 
funeral n.葬礼，丧礼，丧葬# 
funny a.古怪的；滑稽的# 
fur n.软毛；毛皮，裘皮# 
furious a.狂怒的；狂暴的# 
furnace n.炉子，熔炉；鼓风炉# 
furnish vt.供应，提供；装备# 
furniture n.家具；装置，设备# 
further ad.更远地a.更远的# 
furthermore ad.而且，此外# 
future n.将来，未来；前途#
@
