pace n.步，步速vi.踱步# 
professional a.职业的n.专业人员# 
professor n.教授# 
profit n.益处；利润vi.得益# 
program n.节目单；大纲；程序# 
progress n.前进，进展；进步# 
progressive a.进步的；向前进的# 
prohibit vt.禁止，阻止# 
project n.方案，工程vi.伸出# 
prominent a.实起的；突出的# 
promise n.诺言；指望vt.允诺# 
promising a.有希望的；有前途的# 
promote vt.促进，发扬；提升# 
prompt a.及时的vt.敦促# 
pronoun n.代名词# 
pronounce vt.发…的音；宣布# 
pronunciation n.发音，发音法# 
proof n.证据；证明；校样# 
proper a.适合的；合乎体统的# 
properly ad.适当地；彻底地# 
property n.财产，资产；性质# 
proportion n.比，比率，部分# 
proportional a.比例的；相称的# 
proposal n.提议，建议；求婚# 
propose vt.提议vi.求婚# 
prospect n.展望；前景，前程# 
prosperity n.繁荣；昌盛，兴旺# 
prosperous a.繁荣的，昌盛的# 
protect vt.保护，保卫，警戒# 
protection n.保护，警戒# 
protective a.保护的，防护的# 
protein n.蛋白质，朊# 
protest vt.&vi.&n.抗议# 
proud a.骄傲的；自豪的# 
prove vt.证明vi.结果是# 
provide vt.提供；装备，供给# 
provided conj.以…为条件# 
province n.省；领域，部门# 
provision n.供应；预备；存粮# 
psychological a.心理的，心理学的# 
public a.公众的n.公众# 
publication n.公布；出版；出版物# 
publish vt.公布；发表；出版# 
pudding n.布丁# 
puff n.(一)喷，(一)吹# 
pull vt.拉，拖；拉，拉力# 
pulse n.脉搏；脉冲，脉动# 
pump n.泵vt.用抽机抽# 
punch vt.冲出n.冲压机# 
punch vt.用拳猛击n.拳打# 
punctual a.严守时刻的；准时的# 
punish vt.罚，惩罚，处罚# 
punishment n.罚，惩罚，处罚# 
pupil n.学生，小学生# 
pupil n.瞳孔# 
puppet n.木偶，玩偶；傀儡# 
purchase n.买，购买vt.买# 
pure a.纯粹的；纯洁的# 
purely ad.纯粹地，完全地# 
purify vt.使纯净，使洁净# 
purity n.纯净；纯洁；纯度# 
purple n.紫色a.紫的# 
purpose n.目的；意图；效果# 
purse n.钱包，小钱袋，手袋# 
pursue vt.追赶，追踪；进行# 
pursuit n.追赶；追求；事务# 
push vt.推，逼迫vi.推# 
put vt.放，摆；使处于# 
puzzle n.难题；谜vi.使迷惑#
@
